count	player_id	name	author	released	reference
78	Yip_MegaSound	MegaSound Music Editor	Jori Olkkonen (Yip)	1988	https://csdb.dk/release/?id=72917
76	PollyTracker		Aleksi Eeben	2005	https://csdb.dk/release/?id=18605
75	Groovy_Bits	Groovy Music	Lars Patrik Wallström (Karl XII)	1989 Groovy Bits	https://csdb.dk/release/?id=121513
74	Matt_Gray		Matt Gray		
72	DefleMask_v2		Leonardo Demartino (Delek)	2013	https://csdb.dk/release/?id=118363
71	Zardax		Ari-Pekka Paljakka (Zardax)		
69	Ed/Wrath		Eddie Svärd (Ed)		
68	Trident/Active		Adam Dunkels (Trident)		
67	Roland_Hermans				
67	Glover_NewPlayer_V21		Lukasz Baran (Glover)	2000	https://csdb.dk/release/?id=101623
67	Bjerregaard		Johannes Bjerregaard		
67	Heathcliff/DigitalArts	Audio Assembler (a.k.a. Focus in-house music editor)	Rene Lergner (Heathcliff)	1990 Digital Arts	https://csdb.dk/release/?id=112794
67	Asterion_V1.x		Rafal Kazimierski (Asterion)	2004	https://csdb.dk/release/?id=11576
65	Music_Processor	The Music Processor	M. Peter Engelbrite	1984 Sight & Sound	https://csdb.dk/release/?id=150058
61	Virtuoso		Hein Holt	2015 Vision	https://csdb.dk/release/?id=139247
60	Ben_Daglish/Gremlin				
55	Martin_Galway		Martin Galway		
54	SkyLine_Editor	SkyLine Editor	Daniel Stenberg (Danne)	1989 SkyLine Technics	https://csdb.dk/release/?id=22726
54	Fred_Gray				
54	FAME		Adam Bulka	1988 F.A.M.E.	
53	GKGM	Garry Kitchen's GameMaker	Alex DeMeo	1985 Activision	
52	Artline_Designs		Antti Kangas (AK)	Artline Designs	
52	Geir_Tjelta/SIDSys18.6	Sid Systems V4.1	Geir Tjelta	1990	https://csdb.dk/release/?id=33644
48	Basic/Jim_Butterfield				
48	Arne/AFL		Arne Puszelski (Arne)		
47	Power_Music		Michael Kukat (Raster Buster)	1989 Matrix	https://csdb.dk/release/?id=61127
47	Adam_Gilmore				
46	Geir_Tjelta/SIDSys18.4	Sid Systems V4.1	Geir Tjelta	1990	https://csdb.dk/release/?id=33644
45	David_Dunn				
45	Griff		Péter Varga (Griff)		
45	Geir_Tjelta/SIDSys_1.0	Sid Systems V1	Geir Tjelta	1990	https://csdb.dk/release/?id=108477
42	Mssiah			2008 8bit Ventures	
42	The_Music_System	The Music System		1985 Firebird	
42	Music_Studio/Lieblich			1985 Activision	https://csdb.dk/release/?id=90711
42	Zardax/SoundKiller		Ari-Pekka Paljakka (Zardax) & Sami Ilmonen (Scapegoat)		https://csdb.dk/release/?id=99054
41	PASS	P.A.S.S. (Parabola Advanced Synthesis Software) / Allegro	Bob Landwehr	1983 Parabola / 1984 Artworx Software	https://csdb.dk/release/?id=128704
41	5_Dimension	5 Dimension Composer	Pleite Geier	1990 Pleite Geier	https://csdb.dk/release/?id=122330
40	Olav_Moerkrid				
40	SidFactory/Laxity		Thomas Egeskov Petersen (Laxity)	2006	https://csdb.dk/release/?id=39519
40	Blackbird/LFT	Blackbird 1.0	Linus Åkesson (lft)	2017 lft	https://csdb.dk/release/?id=153555
39	Digi-Organizer	Digi-Organizer	Pawel Soltysinski (Polonus) & Marco Wienkoop (Lubber)	1991 Padua	https://csdb.dk/release/?id=871
